trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
21,False,"{'a': 0.25, 'e': 0.9982005399352042}",30,0,-187.2256576348227,"{0: 19, 1: 0, 2: 7, 3: 1, 4: 3}",0
22,False,"{'a': 0.25, 'e': 0.9980161562865429}",20,0,-91.97026616647888,"{0: 13, 1: 1, 2: 4, 3: 1, 4: 1}",0
23,False,"{'a': 0.25, 'e': 0.9978227904992117}",20,0,-73.42764956592558,"{0: 13, 1: 1, 2: 4, 3: 2, 4: 0}",0
24,False,"{'a': 0.25, 'e': 0.9976204443135014}",30,0,-5.228143669575902,"{0: 27, 1: 0, 2: 2, 3: 1, 4: 0}",0
25,False,"{'a': 0.25, 'e': 0.9974091195505261}",25,3,-135.87642416676584,"{0: 11, 1: 1, 2: 8, 3: 1, 4: 1}",1
26,False,"{'a': 0.25, 'e': 0.9971888181122075}",25,0,-63.70742483387925,"{0: 16, 1: 2, 2: 7, 3: 0, 4: 0}",0
27,False,"{'a': 0.25, 'e': 0.9969595419812568}",20,0,-69.70642179090527,"{0: 12, 1: 3, 2: 3, 3: 2, 4: 0}",0
28,False,"{'a': 0.25, 'e': 0.9967212932211577}",30,0,-109.48058552805946,"{0: 22, 1: 2, 2: 4, 3: 0, 4: 2}",0
29,False,"{'a': 0.25, 'e': 0.9964740739761475}",20,2,-39.79748867711959,"{0: 15, 1: 1, 2: 0, 3: 1, 4: 1}",1
30,False,"{'a': 0.25, 'e': 0.9962178864711978}",30,0,-141.9627537118727,"{0: 19, 1: 3, 2: 5, 3: 1, 4: 2}",0
31,False,"{'a': 0.25, 'e': 0.9959527330119943}",30,0,-182.8599962524256,"{0: 15, 1: 4, 2: 8, 3: 1, 4: 2}",0
32,False,"{'a': 0.25, 'e': 0.9956786159849162}",30,0,-140.79454619738758,"{0: 20, 1: 2, 2: 5, 3: 1, 4: 2}",0
33,False,"{'a': 0.25, 'e': 0.9953955378570153}",25,0,-57.336375806970366,"{0: 18, 1: 1, 2: 5, 3: 1, 4: 0}",0
34,False,"{'a': 0.25, 'e': 0.9951035011759926}",25,0,-162.75288180013646,"{0: 15, 1: 3, 2: 4, 3: 0, 4: 3}",0
35,False,"{'a': 0.25, 'e': 0.994802508570176}",30,18,-95.46206180265547,"{0: 7, 1: 1, 2: 2, 3: 0, 4: 2}",1
36,False,"{'a': 0.25, 'e': 0.9944925627484974}",20,0,-30.400044993797117,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 0}",0
37,False,"{'a': 0.25, 'e': 0.9941736665004669}",25,0,-90.31434047961069,"{0: 15, 1: 5, 2: 4, 3: 0, 4: 1}",0
38,False,"{'a': 0.25, 'e': 0.9938458226961485}",25,0,-181.9586087999393,"{0: 12, 1: 5, 2: 5, 3: 0, 4: 3}",0
39,False,"{'a': 0.25, 'e': 0.9935090342861342}",25,0,-127.24681509049859,"{0: 13, 1: 0, 2: 10, 3: 2, 4: 0}",0
40,False,"{'a': 0.25, 'e': 0.9931633043015177}",25,0,-230.44146994564642,"{0: 13, 1: 3, 2: 3, 3: 2, 4: 4}",0
